experiment_id,historical_or_reconstruction,provider,model,calls,input_tokens,output_tokens,reported_cost_usd,cost_source,runtime_seconds,notes
AV01_architecture_validation_full_context,historical,openrouter,google/gemini-2.5-flash-lite,340,993479,44503,0.117149,"metrics.total_cost_usd (harness-recorded, from real per-call cost_latency.cost_usd)",0.012,split=architecture_validation sample_size=340 architecture=AV01_architecture_validation_full_context n_cases=340 file=results/runs/run_AV01_architecture_validation_full_context.jsonl
AV01_architecture_validation_rag,historical,openrouter,google/gemini-2.5-flash-lite,340,371011,39599,0.052941,"metrics.total_cost_usd (harness-recorded, from real per-call cost_latency.cost_usd)",0.005,split=architecture_validation sample_size=340 architecture=AV01_architecture_validation_rag n_cases=340 file=results/runs/run_AV01_architecture_validation_rag.jsonl
AV01_architecture_validation_rag_agent,historical,openrouter,google/gemini-2.5-flash-lite,340,982918,105362,0.140437,"metrics.total_cost_usd (harness-recorded, from real per-call cost_latency.cost_usd)",0.007,split=architecture_validation sample_size=340 architecture=AV01_architecture_validation_rag_agent n_cases=340 file=results/runs/run_AV01_architecture_validation_rag_agent.jsonl
T041_final_test_full_context_google_gemini-2.5-flash-lite,historical,openrouter,google/gemini-2.5-flash-lite,2091,5799919,262892,0.685149,"metrics.total_cost_usd (harness-recorded, from real per-call cost_latency.cost_usd)",0.023,split=test sample_size=2091 architecture=T041_final_test_full_context_google_gemini-2.5-flash-lite n_cases=2091 file=results/runs/run_T041_final_test_full_context_google_gemini-2.5-flash-lite.jsonl
T041_final_test_rag_agent_google_gemini-2.5-flash-lite,historical,openrouter,google/gemini-2.5-flash-lite,2091,5955135,630378,0.847665,"metrics.total_cost_usd (harness-recorded, from real per-call cost_latency.cost_usd)",0.021,split=test sample_size=2091 architecture=T041_final_test_rag_agent_google_gemini-2.5-flash-lite n_cases=2091 file=results/runs/run_T041_final_test_rag_agent_google_gemini-2.5-flash-lite.jsonl
T041_final_test_rag_google_gemini-2.5-flash-lite,historical,openrouter,google/gemini-2.5-flash-lite,2091,2221826,236835,0.316917,"metrics.total_cost_usd (harness-recorded, from real per-call cost_latency.cost_usd)",0.035,split=test sample_size=2091 architecture=T041_final_test_rag_google_gemini-2.5-flash-lite n_cases=2091 file=results/runs/run_T041_final_test_rag_google_gemini-2.5-flash-lite.jsonl
T041_final_test_rule_full,historical,unknown,none,UNKNOWN,UNKNOWN,UNKNOWN,0.0,"metrics.total_cost_usd (harness-recorded, from real per-call cost_latency.cost_usd)",0.017,split=test sample_size=2091 architecture=rule n_cases=2091 file=results/runs/run_T041_final_test_rule_full.jsonl
B01_majority_baseline,historical,unknown,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,"metrics.total_cost_usd (harness-recorded, from real per-call cost_latency.cost_usd)",0.005,split=dev sample_size=0 architecture=rule n_cases=1037 file=results/archive/runs/run_B01_majority_baseline.jsonl
B02_rule_baseline,historical,unknown,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,"metrics.total_cost_usd (harness-recorded, from real per-call cost_latency.cost_usd)",0.005,split=dev sample_size=0 architecture=rule n_cases=1037 file=results/archive/runs/run_B02_rule_baseline.jsonl
B03_full_context,historical,openrouter,google/gemini-2.5-flash-lite,150,432026,18540,0.050619,"metrics.total_cost_usd (harness-recorded, from real per-call cost_latency.cost_usd)",0.002,split=dev sample_size=150 architecture=full_context n_cases=150 file=results/archive/runs/run_B03_full_context.jsonl
B04_oracle_google_gemini-2.5-flash-lite,historical,openrouter,google/gemini-2.5-flash-lite,150,63818,15326,0.012512,"metrics.total_cost_usd (harness-recorded, from real per-call cost_latency.cost_usd)",0.003,split=dev sample_size=0 architecture=oracle n_cases=150 file=results/archive/runs/run_B04_oracle_google_gemini-2.5-flash-lite.jsonl
B04_oracle,historical,openrouter,openai/gpt-5-mini,150,62948,69576,0.154889,"metrics.total_cost_usd (harness-recorded, from real per-call cost_latency.cost_usd)",0.002,split=dev sample_size=0 architecture=oracle n_cases=150 file=results/archive/runs/run_B04_oracle_openai_gpt-5-mini.jsonl
PVAL01_full_context_v2,historical,openrouter,google/gemini-2.5-flash-lite,442,985587,50863,0.118904,"metrics.total_cost_usd (harness-recorded, from real per-call cost_latency.cost_usd)",0.007,split=prompt_validation sample_size=442 architecture=full_context n_cases=442 file=results/archive/runs/run_PVAL01_full_context_v2.jsonl
PVAL01_full_context_v5,historical,openrouter,google/gemini-2.5-flash-lite,442,998918,50647,0.120151,"metrics.total_cost_usd (harness-recorded, from real per-call cost_latency.cost_usd)",0.008,split=prompt_validation sample_size=442 architecture=full_context n_cases=442 file=results/archive/runs/run_PVAL01_full_context_v5.jsonl
PVAL01_full_context_v6,historical,openrouter,google/gemini-2.5-flash-lite,442,1031403,52524,0.12415,"metrics.total_cost_usd (harness-recorded, from real per-call cost_latency.cost_usd)",0.005,split=prompt_validation sample_size=442 architecture=full_context n_cases=442 file=results/archive/runs/run_PVAL01_full_context_v6.jsonl
T018_prompt_v2,historical,openrouter,google/gemini-2.5-flash-lite,150,146652,17351,0.021606,"metrics.total_cost_usd (harness-recorded, from real per-call cost_latency.cost_usd)",0.004,split=dev sample_size=150 architecture=rag n_cases=150 file=results/archive/runs/run_T018_prompt_v2.jsonl
T018_prompt_v3,historical,openrouter,google/gemini-2.5-flash-lite,150,195871,14243,0.025284,"metrics.total_cost_usd (harness-recorded, from real per-call cost_latency.cost_usd)",0.001,split=dev sample_size=150 architecture=rag n_cases=150 file=results/archive/runs/run_T018_prompt_v3.jsonl
T018_prompt_v4,historical,openrouter,google/gemini-2.5-flash-lite,150,154433,17051,0.022264,"metrics.total_cost_usd (harness-recorded, from real per-call cost_latency.cost_usd)",0.004,split=dev sample_size=150 architecture=rag n_cases=150 file=results/archive/runs/run_T018_prompt_v4.jsonl
T018_prompt_v5,historical,openrouter,google/gemini-2.5-flash-lite,150,151583,17554,0.02218,"metrics.total_cost_usd (harness-recorded, from real per-call cost_latency.cost_usd)",0.002,split=dev sample_size=150 architecture=rag n_cases=150 file=results/archive/runs/run_T018_prompt_v5.jsonl
T018_prompt_v6,historical,openrouter,google/gemini-2.5-flash-lite,150,162195,17251,0.02312,"metrics.total_cost_usd (harness-recorded, from real per-call cost_latency.cost_usd)",0.006,split=dev sample_size=150 architecture=rag n_cases=150 file=results/archive/runs/run_T018_prompt_v6.jsonl
T024_rag,historical,openrouter,google/gemini-2.5-flash-lite,150,128033,17408,0.019766,"metrics.total_cost_usd (harness-recorded, from real per-call cost_latency.cost_usd)",0.002,split=dev sample_size=150 architecture=rag n_cases=150 file=results/archive/runs/run_T024_rag.jsonl
T041_final_test_full_context_llama3.2_3b,historical,local/ollama,llama3.2:3b,500,1124300,42426,0.0,"metrics.total_cost_usd (harness-recorded, from real per-call cost_latency.cost_usd)",0.015,split=test sample_size=500 architecture=T041_final_test_full_context_llama3.2_3b n_cases=500 file=results/archive/runs/run_T041_final_test_full_context_llama3.2_3b.jsonl
T041_final_test_rag_agent_llama3.2_3b,historical,local/ollama,llama3.2:3b,500,1814590,149581,0.0,"metrics.total_cost_usd (harness-recorded, from real per-call cost_latency.cost_usd)",0.014,split=test sample_size=500 architecture=T041_final_test_rag_agent_llama3.2_3b n_cases=500 file=results/archive/runs/run_T041_final_test_rag_agent_llama3.2_3b.jsonl
T041_final_test_rag_llama3.2_3b,historical,local/ollama,llama3.2:3b,500,499887,47536,0.0,"metrics.total_cost_usd (harness-recorded, from real per-call cost_latency.cost_usd)",0.014,split=test sample_size=500 architecture=T041_final_test_rag_llama3.2_3b n_cases=500 file=results/archive/runs/run_T041_final_test_rag_llama3.2_3b.jsonl
T041_final_test_rule,historical,unknown,none,UNKNOWN,UNKNOWN,UNKNOWN,0.0,"metrics.total_cost_usd (harness-recorded, from real per-call cost_latency.cost_usd)",0.003,split=test sample_size=500 architecture=T041_final_test_rule n_cases=500 file=results/archive/runs/run_T041_final_test_rule.jsonl
checkpoint_T041_final_test_rag_agent_llama3.2_3b,historical,unknown,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN -- no metrics.total_cost_usd field in this record,UNKNOWN,"split=? sample_size=? architecture=? n_cases=? file=results/archive/runs/pre_c1_fix_archive/checkpoint_T041_final_test_rag_agent_llama3.2_3b.jsonl [SUPERSEDED pre-C1-fix run, real spend kept for audit]"
T041_final_test_rag_agent_google_gemini-2.5-flash-lite,historical,openrouter,google/gemini-2.5-flash-lite,500,876134,94572,0.125442,"metrics.total_cost_usd (harness-recorded, from real per-call cost_latency.cost_usd)",0.013,"split=test sample_size=500 architecture=T041_final_test_rag_agent_google_gemini-2.5-flash-lite n_cases=500 file=results/archive/runs/pre_c1_fix_archive/run_T041_final_test_rag_agent_google_gemini-2.5-flash-lite.jsonl [SUPERSEDED pre-C1-fix run, real spend kept for audit]"
